FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia
229,2017-08-17,2017,8,August,Qtr 3,17
230,2017-08-18,2017,8,August,Qtr 3,18
231,2017-08-19,2017,8,August,Qtr 3,19
232,2017-08-20,2017,8,August,Qtr 3,20
233,2017-08-21,2017,8,August,Qtr 3,21
234,2017-08-22,2017,8,August,Qtr 3,22
235,2017-08-23,2017,8,August,Qtr 3,23
236,2017-08-24,2017,8,August,Qtr 3,24
237,2017-08-25,2017,8,August,Qtr 3,25
238,2017-08-26,2017,8,August,Qtr 3,26
239,2017-08-27,2017,8,August,Qtr 3,27
240,2017-08-28,2017,8,August,Qtr 3,28
241,2017-08-29,2017,8,August,Qtr 3,29
242,2017-08-30,2017,8,August,Qtr 3,30
243,2017-08-31,2017,8,August,Qtr 3,31
244,2017-09-01,2017,9,September,Qtr 3,1
245,2017-09-02,2017,9,September,Qtr 3,2
246,2017-09-03,2017,9,September,Qtr 3,3
247,2017-09-04,2017,9,September,Qtr 3,4
248,2017-09-05,2017,9,September,Qtr 3,5
249,2017-09-06,2017,9,September,Qtr 3,6
250,2017-09-07,2017,9,September,Qtr 3,7
251,2017-09-08,2017,9,September,Qtr 3,8
252,2017-09-09,2017,9,September,Qtr 3,9
253,2017-09-10,2017,9,September,Qtr 3,10
254,2017-09-11,2017,9,September,Qtr 3,11
255,2017-09-12,2017,9,September,Qtr 3,12
256,2017-09-13,2017,9,September,Qtr 3,13
257,2017-09-14,2017,9,September,Qtr 3,14
258,2017-09-15,2017,9,September,Qtr 3,15
259,2017-09-16,2017,9,September,Qtr 3,16
260,2017-09-17,2017,9,September,Qtr 3,17
261,2017-09-18,2017,9,September,Qtr 3,18
262,2017-09-19,2017,9,September,Qtr 3,19
263,2017-09-20,2017,9,September,Qtr 3,20
264,2017-09-21,2017,9,September,Qtr 3,21
265,2017-09-22,2017,9,September,Qtr 3,22
266,2017-09-23,2017,9,September,Qtr 3,23
267,2017-09-24,2017,9,September,Qtr 3,24
268,2017-09-25,2017,9,September,Qtr 3,25
269,2017-09-26,2017,9,September,Qtr 3,26
270,2017-09-27,2017,9,September,Qtr 3,27
271,2017-09-28,2017,9,September,Qtr 3,28
272,2017-09-29,2017,9,September,Qtr 3,29
273,2017-09-30,2017,9,September,Qtr 3,30
274,2017-10-01,2017,10,October,Qtr 4,1
275,2017-10-02,2017,10,October,Qtr 4,2
276,2017-10-03,2017,10,October,Qtr 4,3
277,2017-10-04,2017,10,October,Qtr 4,4
278,2017-10-05,2017,10,October,Qtr 4,5
279,2017-10-06,2017,10,October,Qtr 4,6
280,2017-10-07,2017,10,October,Qtr 4,7
281,2017-10-08,2017,10,October,Qtr 4,8
282,2017-10-09,2017,10,October,Qtr 4,9
283,2017-10-10,2017,10,October,Qtr 4,10
284,2017-10-11,2017,10,October,Qtr 4,11
285,2017-10-12,2017,10,October,Qtr 4,12
286,2017-10-13,2017,10,October,Qtr 4,13
287,2017-10-14,2017,10,October,Qtr 4,14
288,2017-10-15,2017,10,October,Qtr 4,15
289,2017-10-16,2017,10,October,Qtr 4,16
290,2017-10-17,2017,10,October,Qtr 4,17
291,2017-10-18,2017,10,October,Qtr 4,18
292,2017-10-19,2017,10,October,Qtr 4,19
293,2017-10-20,2017,10,October,Qtr 4,20
294,2017-10-21,2017,10,October,Qtr 4,21
295,2017-10-22,2017,10,October,Qtr 4,22
296,2017-10-23,2017,10,October,Qtr 4,23
297,2017-10-24,2017,10,October,Qtr 4,24
298,2017-10-25,2017,10,October,Qtr 4,25
299,2017-10-26,2017,10,October,Qtr 4,26
300,2017-10-27,2017,10,October,Qtr 4,27
301,2017-10-28,2017,10,October,Qtr 4,28
302,2017-10-29,2017,10,October,Qtr 4,29
303,2017-10-30,2017,10,October,Qtr 4,30
304,2017-10-31,2017,10,October,Qtr 4,31
305,2017-11-01,2017,11,November,Qtr 4,1
306,2017-11-02,2017,11,November,Qtr 4,2
307,2017-11-03,2017,11,November,Qtr 4,3
308,2017-11-04,2017,11,November,Qtr 4,4
309,2017-11-05,2017,11,November,Qtr 4,5
310,2017-11-06,2017,11,November,Qtr 4,6
311,2017-11-07,2017,11,November,Qtr 4,7
312,2017-11-08,2017,11,November,Qtr 4,8
313,2017-11-09,2017,11,November,Qtr 4,9
314,2017-11-10,2017,11,November,Qtr 4,10
315,2017-11-11,2017,11,November,Qtr 4,11
316,2017-11-12,2017,11,November,Qtr 4,12
317,2017-11-13,2017,11,November,Qtr 4,13
318,2017-11-14,2017,11,November,Qtr 4,14
319,2017-11-15,2017,11,November,Qtr 4,15
320,2017-11-16,2017,11,November,Qtr 4,16
321,2017-11-17,2017,11,November,Qtr 4,17
322,2017-11-18,2017,11,November,Qtr 4,18
323,2017-11-19,2017,11,November,Qtr 4,19
324,2017-11-20,2017,11,November,Qtr 4,20
325,2017-11-21,2017,11,November,Qtr 4,21
326,2017-11-22,2017,11,November,Qtr 4,22
327,2017-11-23,2017,11,November,Qtr 4,23
328,2017-11-24,2017,11,November,Qtr 4,24
329,2017-11-25,2017,11,November,Qtr 4,25
330,2017-11-26,2017,11,November,Qtr 4,26
331,2017-11-27,2017,11,November,Qtr 4,27
332,2017-11-28,2017,11,November,Qtr 4,28
333,2017-11-29,2017,11,November,Qtr 4,29
334,2017-11-30,2017,11,November,Qtr 4,30
335,2017-12-01,2017,12,December,Qtr 4,1
336,2017-12-02,2017,12,December,Qtr 4,2
337,2017-12-03,2017,12,December,Qtr 4,3
338,2017-12-04,2017,12,December,Qtr 4,4
339,2017-12-05,2017,12,December,Qtr 4,5
340,2017-12-06,2017,12,December,Qtr 4,6
341,2017-12-07,2017,12,December,Qtr 4,7
342,2017-12-08,2017,12,December,Qtr 4,8
343,2017-12-09,2017,12,December,Qtr 4,9
344,2017-12-10,2017,12,December,Qtr 4,10
345,2017-12-11,2017,12,December,Qtr 4,11
346,2017-12-12,2017,12,December,Qtr 4,12
347,2017-12-13,2017,12,December,Qtr 4,13
348,2017-12-14,2017,12,December,Qtr 4,14
349,2017-12-15,2017,12,December,Qtr 4,15
350,2017-12-16,2017,12,December,Qtr 4,16
351,2017-12-17,2017,12,December,Qtr 4,17
352,2017-12-18,2017,12,December,Qtr 4,18
353,2017-12-19,2017,12,December,Qtr 4,19
354,2017-12-20,2017,12,December,Qtr 4,20
355,2017-12-21,2017,12,December,Qtr 4,21
